Method,Acc,Cost,Std_Acc,Description,config,_beta,warm_up,lock_streak,prune_patience,conf_thresh,max_cohort,maturity_boost,min_locked_frac,trace_recorder
OptimalController,20.73,23533,0,optimal_controller | config={'beta': 0.4},{'beta': 0.4},0.4,4,3,5,0.902,15,2.2,0.52,<method.MethodTraceRecorder object at 0x7fc04a0e1a90>
OptimalController,20.53,27460,0,optimal_controller | config={'beta': 0.5},{'beta': 0.5},0.5,5,3,6,0.915,18,2.5,0.55,<method.MethodTraceRecorder object at 0x7fc0051b81a0>
OptimalController,20.73,30354,0,optimal_controller | config={'beta': 0.6},{'beta': 0.6},0.6,6,3,6,0.9279999999999999,21,2.8,0.5800000000000001,<method.MethodTraceRecorder object at 0x7fbfff81cef0>
OptimalController,20.67,34234,0,optimal_controller | config={'beta': 0.7},{'beta': 0.7},0.7,6,3,6,0.941,24,3.0999999999999996,0.61,<method.MethodTraceRecorder object at 0x7fbff9919e50>
OptimalController,9.53,5766,0,optimal_controller | config={'beta': 0.1},{'beta': 0.1},0.1,3,2,4,0.863,7,1.3,0.43000000000000005,<method.MethodTraceRecorder object at 0x7fbff3624e00>
OptimalController,10.43,4610,0,optimal_controller | config={'beta': 0.0},{'beta': 0.0},0.0,2,2,3,0.85,4,1.0,0.4,<method.MethodTraceRecorder object at 0x7fbff11f3050>
OptimalController,9.03,6699,0,optimal_controller | config={'beta': 0.2},{'beta': 0.2},0.2,3,2,4,0.876,10,1.6,0.46,<method.MethodTraceRecorder object at 0x7fbfee669910>
OptimalController,20.43,18891,0,optimal_controller | config={'beta': 0.3},{'beta': 0.3},0.3,4,3,4,0.889,12,1.9,0.49,<method.MethodTraceRecorder object at 0x7fbfebf6fcb0>
OptimalController,36.87,67760,0,optimal_controller | config={'beta': 0.8},{'beta': 0.8},0.8,7,4,7,0.954,26,3.4000000000000004,0.64,<method.MethodTraceRecorder object at 0x7fbfe71da8a0>
OptimalController,37.1,76565,0,optimal_controller | config={'beta': 0.9},{'beta': 0.9},0.9,7,4,8,0.967,29,3.7,0.67,<method.MethodTraceRecorder object at 0x7fbfddee5df0>
OptimalController,37.17,83736,0,optimal_controller | config={'beta': 1.0},{'beta': 1.0},1.0,8,4,8,0.98,32,4.0,0.7,<method.MethodTraceRecorder object at 0x7fbfd4154260>
