Method,Acc,Cost,Std_Acc,Description,config,max_samples,threshold,trace_recorder,window_size,num_chains,K,T,eps_inter,eps_intra,prune_patience,warm_up,probe_burst,max_steps
ASCMethod,45.5,15926,0,"asc | config={'max_samples': 1, 'threshold': 0.95}","{'max_samples': 1, 'threshold': 0.95}",1.0,0.95,<method.MethodTraceRecorder object at 0x7f9a2851b4d0>,,,,,,,,,,
ASCMethod,54.37,64073,0,"asc | config={'max_samples': 4, 'threshold': 0.95}","{'max_samples': 4, 'threshold': 0.95}",4.0,0.95,<method.MethodTraceRecorder object at 0x7f9a668b14f0>,,,,,,,,,,
ESCMethod,66.37,246575,0,"esc | config={'max_samples': 16, 'window_size': 8}","{'max_samples': 16, 'window_size': 8}",16.0,,<method.MethodTraceRecorder object at 0x7f9ab0faf320>,8.0,,,,,,,,,
ESCMethod,69.57,473819,0,"esc | config={'max_samples': 32, 'window_size': 8}","{'max_samples': 32, 'window_size': 8}",32.0,,<method.MethodTraceRecorder object at 0x7f9a72c77260>,8.0,,,,,,,,,
ESCMethod,72.47,909205,0,"esc | config={'max_samples': 64, 'window_size': 8}","{'max_samples': 64, 'window_size': 8}",64.0,,<method.MethodTraceRecorder object at 0x7f9ab02636e0>,8.0,,,,,,,,,
ASCMethod,62.23,118758,0,"asc | config={'max_samples': 8, 'threshold': 0.95}","{'max_samples': 8, 'threshold': 0.95}",8.0,0.95,<method.MethodTraceRecorder object at 0x7f9a8cfcfb90>,,,,,,,,,,
Parallel_Probe,45.5,15887,0,"Parallel_Probe | config={'num_chains': 1, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 1, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9a6a0bbce0>,,1.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
ASCMethod,66.37,206404,0,"asc | config={'max_samples': 16, 'threshold': 0.95}","{'max_samples': 16, 'threshold': 0.95}",16.0,0.95,<method.MethodTraceRecorder object at 0x7f9a51678380>,,,,,,,,,,
ASCMethod,69.57,328307,0,"asc | config={'max_samples': 32, 'threshold': 0.95}","{'max_samples': 32, 'threshold': 0.95}",32.0,0.95,<method.MethodTraceRecorder object at 0x7f9a63608530>,,,,,,,,,,
Parallel_Probe,51.73,51042,0,"Parallel_Probe | config={'num_chains': 4, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 4, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9a3703c6e0>,,4.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,58.87,99219,0,"Parallel_Probe | config={'num_chains': 8, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 8, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9a61c369c0>,,8.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
ASCMethod,72.33,482563,0,"asc | config={'max_samples': 64, 'threshold': 0.95}","{'max_samples': 64, 'threshold': 0.95}",64.0,0.95,<method.MethodTraceRecorder object at 0x7f99d4f99520>,,,,,,,,,,
Parallel_Probe,62.13,192957,0,"Parallel_Probe | config={'num_chains': 16, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 16, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9a220d5730>,,16.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,63.8,378972,0,"Parallel_Probe | config={'num_chains': 32, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 32, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9a269d1d00>,,32.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,66.03,745425,0,"Parallel_Probe | config={'num_chains': 64, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 64, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f990ed3c890>,,64.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
