Method,Acc,Cost,Std_Acc,Description,config,max_samples,threshold,trace_recorder,window_size,num_chains,K,T,eps_inter,eps_intra,prune_patience,warm_up,probe_burst,max_steps
ASCMethod,75.57,14184,0,"asc | config={'max_samples': 1, 'threshold': 0.95}","{'max_samples': 1, 'threshold': 0.95}",1.0,0.95,<method.MethodTraceRecorder object at 0x7f9a88300f20>,,,,,,,,,,
ESCMethod,81.03,186408,0,"esc | config={'max_samples': 16, 'window_size': 8}","{'max_samples': 16, 'window_size': 8}",16.0,,<method.MethodTraceRecorder object at 0x7f9ab0fac440>,8.0,,,,,,,,,
ESCMethod,80.87,298092,0,"esc | config={'max_samples': 32, 'window_size': 8}","{'max_samples': 32, 'window_size': 8}",32.0,,<method.MethodTraceRecorder object at 0x7f9a8dc57560>,8.0,,,,,,,,,
ASCMethod,81.03,112808,0,"asc | config={'max_samples': 16, 'threshold': 0.95}","{'max_samples': 16, 'threshold': 0.95}",16.0,0.95,<method.MethodTraceRecorder object at 0x7f9a7fe066f0>,,,,,,,,,,
ASCMethod,80.1,56846,0,"asc | config={'max_samples': 4, 'threshold': 0.95}","{'max_samples': 4, 'threshold': 0.95}",4.0,0.95,<method.MethodTraceRecorder object at 0x7f9a7fe066c0>,,,,,,,,,,
ASCMethod,81.2,83623,0,"asc | config={'max_samples': 8, 'threshold': 0.95}","{'max_samples': 8, 'threshold': 0.95}",8.0,0.95,<method.MethodTraceRecorder object at 0x7f9a751e6060>,,,,,,,,,,
ESCMethod,80.37,459359,0,"esc | config={'max_samples': 64, 'window_size': 8}","{'max_samples': 64, 'window_size': 8}",64.0,,<method.MethodTraceRecorder object at 0x7f9a72688320>,8.0,,,,,,,,,
ASCMethod,80.87,157088,0,"asc | config={'max_samples': 32, 'threshold': 0.95}","{'max_samples': 32, 'threshold': 0.95}",32.0,0.95,<method.MethodTraceRecorder object at 0x7f9a707b3440>,,,,,,,,,,
ASCMethod,80.37,226033,0,"asc | config={'max_samples': 64, 'threshold': 0.95}","{'max_samples': 64, 'threshold': 0.95}",64.0,0.95,<method.MethodTraceRecorder object at 0x7f9a6a58d790>,,,,,,,,,,
Parallel_Probe,75.23,14160,0,"Parallel_Probe | config={'num_chains': 1, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 1, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9a668b3b00>,,1.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,78.17,47812,0,"Parallel_Probe | config={'num_chains': 4, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 4, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9a47bfd3d0>,,4.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,79.47,93702,0,"Parallel_Probe | config={'num_chains': 8, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 8, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9a2b4bea20>,,8.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,80.33,184988,0,"Parallel_Probe | config={'num_chains': 16, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 16, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9a05bc7020>,,16.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,80.87,367491,0,"Parallel_Probe | config={'num_chains': 32, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 32, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f99cfafea80>,,32.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
Parallel_Probe,81.47,730781,0,"Parallel_Probe | config={'num_chains': 64, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}","{'num_chains': 64, 'K': 5, 'T': 40, 'eps_inter': 5.0, 'eps_intra': 5.0, 'prune_patience': 7, 'warm_up': 15, 'probe_burst': 1, 'max_steps': 100}",,,<method.MethodTraceRecorder object at 0x7f9979e6b170>,,64.0,5.0,40.0,5.0,5.0,7.0,15.0,1.0,100.0
